Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_Vaccinated,StringencyIndex_SimpleAverage,StringencyIndex_WeightedAverage,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_WeightedAverage,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_WeightedAverage,EconomicSupportIndex
20210101,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1719737.0,33071.0,NV,0.0,82.41,82.41,82.41,82.41,69.17,69.17,69.17,69.17,73.69,73.69,73.69,73.69,37.5
20210102,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1755351.0,33960.0,NV,0.0,82.41,82.41,82.41,82.41,69.17,69.17,69.17,69.17,73.69,73.69,73.69,73.69,37.5
20210103,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1765666.0,34272.0,NV,0.0,82.41,82.41,82.41,82.41,69.17,69.17,69.17,69.17,73.69,73.69,73.69,73.69,37.5
20210104,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1775513.0,34574.0,NV,0.0,82.41,82.41,82.41,82.41,69.17,69.17,69.17,69.17,73.69,73.69,73.69,73.69,37.5
20210105,3.0,1.0,,,,,3.0,1.0,"Measures in place for schools and nurseries will remain in effect, extended to the end of January.   https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498",3.0,1.0,,,,,3.0,1.0,Lockdown extended until Jan 31. See previous note for list of closed shops. https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498 ,2.0,1.0,,,,,2.0,1.0,Lockdown extended until Jan 31. See previous note for more info. https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498 ,4.0,1.0,,,,,4.0,1.0,"From the 5th of January, private meetings with one other person not living in the same household are permitted (previously a maximum of 5 from 2 households.)  https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498",1.0,1.0,,,,,1.0,1.0,"Public Transport remains in operation, though in many places with reduced capacity (Blocking off seats etc.). There is a discussion of closing public transport completely, but no action has been taken.   https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498 ",2.0,1.0,,,,,2.0,1.0,"Public Transport remains in operation, though in many places with reduced capacity (Blocking off seats etc.). There is a discussion of closing public transport completely, but no action has been taken.   https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498 ",2.0,0.0,,,,,2.0,0.0,"From the 5th of January, residents in hotspot districts (more than 200 per 100,000 cases) are not permitted to travel more than 15 km from their town without a valid reason. Day trips are not classified a valid reason.   https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498",3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,1.0,"***Recoded from 2 to 1. New lockdown measures note that while a contact tracing system is in place, it has been ""impossible"" due to high case loads. ""Authorities hope the lockdown will bring down the infection rate enough to restart effective contact tracing — the high number of infections has made contact tracing impossible.""     https://web.archive.org/web/20210106175200/https://www.dw.com/en/coronavirus-germany-extends-covid-lockdown-until-january-31/a-56134498",0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,https://web.archive.org/web/20210108114812/https://www.bundesregierung.de/resource/blob/997532/1834306/75346aa9bba1050fec8025b18a4bb1a3/2021-01-05-beschluss-mpk-data.pdf?download=1,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1787410.0,35518.0,NV,0.0,85.19,85.19,85.19,85.19,67.6,67.6,67.6,67.6,71.9,71.9,71.9,71.9,37.5
20210106,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,2.0,0.0,,,,,2.0,0.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1808647.0,36537.0,NV,0.0,85.19,85.19,85.19,85.19,67.6,67.6,67.6,67.6,71.9,71.9,71.9,71.9,37.5
20210107,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,2.0,0.0,,,,,2.0,0.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1835038.0,37607.0,NV,0.0,85.19,85.19,85.19,85.19,67.6,67.6,67.6,67.6,71.9,71.9,71.9,71.9,37.5
20210108,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,2.0,0.0,,,,,2.0,0.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1866887.0,38795.0,NV,0.0,85.19,85.19,85.19,85.19,67.6,67.6,67.6,67.6,71.9,71.9,71.9,71.9,37.5
20210109,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,2.0,0.0,,,,,2.0,0.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1891581.0,39878.0,NV,0.0,85.19,85.19,85.19,85.19,67.6,67.6,67.6,67.6,71.9,71.9,71.9,71.9,37.5
20210110,3.0,1.0,,,,,3.0,1.0,,3.0,1.0,,,,,3.0,1.0,,2.0,1.0,,,,,2.0,1.0,,4.0,1.0,,,,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,0.0,,,,,2.0,0.0,"Curfew between 8pm/9pm/10pm (depending on state) and 5am remains in place in Baden-Württemberg, Bayern, Sachsen, Bradenburg, and Thüringen, during which leaving the house is only allowed under very limited circumstances (e.g. medical emergencies). Between 5am and 8pm/9pm/10pm, there are more exceptions, including going to the supermarket, going to work (provided it is required and allowed under other restrictions), and exercise. In Berlin, you can only leave the house with ""valid reasons"" (effectively exceptions).    Other states have mostly adopted the federal guidelines limiting movement to within 15km around one's home whenever incidence over the past 7 days is above 200 infections/100000 residents. Mecklenburg-Vorpommern,       At least Bremen, Niedersachsen and Hamburg seem to have no such restrictions, making 2T the best fit.     https://web.archive.org/web/20210130185647/https://www.focus.de/gesundheit/coronavirus/corona-regeln-naechtliche-ausgangssperre-in-welchen-bundeslaendern-sie-immer-noch-gilt_id_12858482.html  https://web.archive.org/web/20210130191559/https://www.pnn.de/brandenburg/lockdown-bis-zum-31-januar-2021-das-ist-in-potsdam-und-brandenburg-erlaubt/26739656.html",2.0,0.0,,,,,2.0,0.0,,3.0,,,3.0,,2.0,0.0,,0.0,,0.0,,0.0,,2.0,1.0,,1.0,,1.0,,0.0,,0.0,,2.0,1.0,,,,,2.0,1.0,"Facial covering policies remain unchanged, though Bavaria has recently introduced a requirement for mandatory masks in public transport and supermarkets to be of FFP2 standard (passengers with regular surgical or cloth masks will be denied entry).",2.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,1,,1,,80+ yrs,80+ yrs,0.0,0.0,0.0,1.0,5,,0.0,,1908527.0,40343.0,NV,0.0,83.33,83.33,83.33,83.33,66.56,66.56,66.56,66.56,70.71,70.71,70.71,70.71,37.5
